Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Zero config job server,AR-1185,118468,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,21/Dec/15 6:09 PM,23/Feb/16 9:45 PM,03/May/19 9:53 AM,23/Feb/16 9:45 PM,,,,,,,,,0,,As a sales user I want the audio takeovers I create to be enabled/disabled in zero config,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Job server checks Audio Takeover app in 15 min intervals for created & deleted campaign data.
Server modifies zero config to enable and disable the streams for the appropriate date & time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawu7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _4_DISPLACER,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Takeover app UI,AR-1184,118467,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,21/Dec/15 6:05 PM,26/Jan/16 5:59 PM,03/May/19 9:53 AM,26/Jan/16 5:59 PM,,,,,,,,,0,,I want to view and manage audio takeovers so that they do not require dev work to be scheduled.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create app to manage audio takeovers
UI must include a screen for viewing scheduled campaigns
UI must include a screen for importing new campaigns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqx4v:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _2_ Beholder,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Service w/ mtime filter and collection metadata,AR-1182,118460,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 5:55 PM,11/Jan/16 5:26 PM,03/May/19 9:53 AM,11/Jan/16 5:26 PM,,,,,,,,,0,,As a user I want the content service api to contain an mtime filter and collection metadata so that flint can identify modified content as well as utilize metadata for identifying appropriate T2 feeds,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content API contains mtime data for all content items
Content API can be filtered by mtime
Collection metadata attributes available in content api",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaitb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod AWS Migration Fallout,AR-1181,118459,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,1110204,1110204,21/Dec/15 5:52 PM,15/Jan/16 2:48 PM,03/May/19 9:53 AM,15/Jan/16 2:48 PM,,Mario Release,,,,,,,0,,Move RadioEdit Prod to AWS,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr9uv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _2_ Beholder,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike: Charts Content Type,AR-1179,118452,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/Dec/15 5:43 PM,04/Mar/16 6:16 PM,03/May/19 9:53 AM,17/Feb/16 8:42 PM,,,,,,,,,0,,As a user I want to create a dynamic chart (http://news.iheart.com/charts/iheartradio-weekly-countdown-111/) that shows an ordered list of content items.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content type keeps header and metadata fields used for article/galleries
In the body, user can create an ordered list of catalog songs
User can set time block that the chart data reflects (i.e. Jan 1, 2016 - Jan 7, 2016)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawtb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _4_DISPLACER,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import Site Config Data Dump,AR-1177,118447,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,21/Dec/15 5:31 PM,12/Jan/17 4:14 PM,03/May/19 9:53 AM,28/Jan/16 5:35 AM,,,Site Manager,,,,,,0,,"As a user, I want all the site/feature/blog config data from T2 available in the RD Site Manager",,1110204,howella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Jan/16 9:41 PM;howella;blogs_tabbed.txt;https://jira.ihrint.com/secure/attachment/97579/blogs_tabbed.txt,20/Jan/16 5:19 PM;howella;blogs_tabbed.txt;https://jira.ihrint.com/secure/attachment/97094/blogs_tabbed.txt,20/Jan/16 5:19 PM;howella;features_tabbed.txt;https://jira.ihrint.com/secure/attachment/97092/features_tabbed.txt,25/Jan/16 3:06 PM;howella;sites_tabbed.txt;https://jira.ihrint.com/secure/attachment/97219/sites_tabbed.txt,20/Jan/16 5:19 PM;howella;sites_tabbed.txt;https://jira.ihrint.com/secure/attachment/97093/sites_tabbed.txt,,,Site Manager contains available T2 config data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawqf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _2_ Beholder,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"20/Jan/16 5:21 PM;howella;We ended up using tab delimited, if this is a problem I can change it to whatever you want.
Thanks.",,,,,,,,,
SEO dialog for slug changes - Approved language,AR-1175,118445,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 5:09 PM,01/Apr/19 2:50 PM,03/May/19 9:53 AM,05/Jan/16 6:12 PM,,,Content Tool,,,,,,0,,,,1110184,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official warning text for slug change:

""WARNING: Modifying slugs should only be done before the article is published. Changing the slug after the article is live will negatively impact your webpage’s SEO.
 
Are you sure you still want to modify?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaitr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt-Image Text for content images,AR-1174,118420,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,21/Dec/15 3:33 PM,05/Jan/16 6:12 PM,03/May/19 9:53 AM,05/Jan/16 6:12 PM,,,,,,,,,0,,"As a user, I want to add alt-image text to images I insert into content blocks within the content tool so that this is available for SEO",,1110184,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image content blocks allow user to enter alt-image text
Text available in content API for images.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaitj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE Publishing - Tools,AR-1173,118417,,Epic,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,howella,1110204,1110204,21/Dec/15 3:03 PM,30/Apr/19 9:39 AM,03/May/19 9:53 AM,30/Apr/19 9:39 AM,,,,,,,,,0,,,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,Publishing Tools,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr73z:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike: Host Based Routing,AR-1172,118409,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/Dec/15 2:22 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,06/Jan/16 8:15 PM,,Mario Release,,,,,,,0,,Investigate host based routing for flint,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan for handling routing in radioedit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaisn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add docker container cleanup to datadog,AR-1169,118149,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,howella,tlong,tlong,18/Dec/15 2:40 PM,10/Mar/16 8:03 PM,03/May/19 9:53 AM,10/Mar/16 8:03 PM,,Mario Release,,,,,,,0,,"View a guide here:
http://docs.datadoghq.com/faq/#graph

Under:
How do I track cron jobs?

This will probably involve operations.
[~1109123]",,tlong,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawyv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,RadioEdit _6_Fire Giant,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,05/Jan/16 3:53 PM;tterry;Linked to OPS task for updating the cron.,05/Jan/16 3:54 PM;tterry;Linking to OPS ticket for CRON update.,,,,,,,,
Custom Sweepers v2 - RadioEdit,AR-1167,118138,,Epic,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,ccrnyc1rar,ccrnyc1rar,18/Dec/15 4:59 AM,28/Nov/17 2:27 PM,03/May/19 9:53 AM,28/Nov/17 2:27 PM,,,,,,,,,0,,,,ccrnyc1rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,Custom Sweepers v2 - RadioEdit,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1b3:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDK v2 RPCConnector reuses the ""options"" attribute for every request",AR-1165,118028,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,17/Dec/15 2:58 PM,21/Dec/15 3:02 PM,03/May/19 9:53 AM,21/Dec/15 3:02 PM,,,,,,,,,0,,options should be copied before being sent into getJSON OR getJSON should copy it before making changes.,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr5kf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searchd - Need to log error responses from elastic,AR-1164,118003,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,aroberts,aroberts,16/Dec/15 8:21 PM,12/Jan/16 4:25 PM,03/May/19 9:53 AM,07/Jan/16 8:07 PM,,,,,,,,,0,,Need to log when there are issues with elastic,,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr8lz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nav Menu setup uses autocomplete for existing pages,AR-1163,117997,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,16/Dec/15 7:12 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,04/Jan/16 2:08 PM,,,Site Manager,,,,,,0,,As a user I want to be able to setup my nav menu using autocomplete for existing pages,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autocomplete suggestions for nav menu path when user begins typing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr5kn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagscore no longer filters tags based on visibility,AR-1162,117986,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,aroberts,aroberts,16/Dec/15 5:07 PM,21/Dec/15 3:02 PM,03/May/19 9:53 AM,21/Dec/15 3:02 PM,,,,,,,,,0,,Newer versions of tagscore are no longer properly visibility filtering tags.,,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tags returned in a search need to be filtered by a user's visibility of those tags.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawq7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radioctl start should only show logs for the instance(s) being started,AR-1158,117875,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,tterry,tterry,15/Dec/15 2:28 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,21/Dec/15 3:02 PM,,Mario Release,,,,,,,0,,"In the following example, the first log message is from a previous attempt to start the application. {{radioctl start}} should only show logs from the instance(s) being started.

{code}
➜  app git:(sdkv2) ✗ ~/Downloads/radioctl --platform http://radioedit.qa.cloud.ihr start v-73d1b31f  
Initializing instance(s) for version: v-73d1b31f.
Starting instances: [i-e6e0c10d]
Starting log tail for version_id=v-73d1b31f. Use CTRL+C to stop.
Beginning log stream: version_id=v-73d1b31f
--------------
ERRO[Dec 15 13:55:28] Maximum restart count exceeded for version ""v-73d1b31f"" of application ""re-app-wrap""
INFO[Dec 15 13:55:33] Static files will be served from:  release/
INFO[Dec 15 13:55:33] Web services set up at URI:  /api
INFO[Dec 15 13:55:33] Starting server on port:  8000
INFO[Dec 15 13:55:33] Fatal: failed to fetch the app token. Exiting.
INFO[Dec 15 13:55:33] 
^C%
{code}",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawpz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radioctl deploy should not report an error when starting the first instance,AR-1157,117872,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,15/Dec/15 2:24 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,21/Dec/15 3:01 PM,,Mario Release,,,,,,,0,,"radioctl deploy reports an error when there are no previous running instances. This should not be an error.

{code}
Build Completed.
Initializing instance(s) for version: v-c0cf0156.
Starting instances: \[i-3444fa95]
Set default version of re-app-wrap to v-c0cf0156
No running instances could be found
{code}",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawpj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no error message on radioctl logs with a bad label=value,AR-1156,117870,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,15/Dec/15 2:17 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,21/Dec/15 3:01 PM,,Mario Release,,,,,,,0,,"radioctl --platform http://radioedit.qa.cloud.ihr logs instance=v-73d1b31f

gives a 400 because ""instance"" should be ""instance_id"", but there is no error message displayed.",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawpr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When application isn't found for radioeditctl the error message is complete garbage,AR-1155,117851,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,14/Dec/15 9:25 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,21/Dec/15 3:01 PM,,Mario Release,,,,,,,0,,,,tlong,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawpb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"17/Dec/15 9:00 PM;tterry;This applies to build, deploy, shell, and versions.",,,,,,,,,
Migrate dev to AWS,AR-1154,117850,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,14/Dec/15 9:13 PM,12/Jan/16 4:11 PM,03/May/19 9:53 AM,12/Jan/16 4:11 PM,,Mario Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzakhj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _1_Archon,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version record is not cleaned up if build fails in all cases,AR-1153,117845,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,14/Dec/15 8:39 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,21/Dec/15 3:02 PM,,Mario Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzr4wn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Config,AR-1152,117832,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,14/Dec/15 6:55 PM,30/Dec/15 8:24 PM,03/May/19 9:53 AM,30/Dec/15 8:24 PM,,,,,,,,,0,,default config that will apply to all countries and clients,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"allow admin user to set default config parameters
default config can be applied to all clients/versions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzakif:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country>Client/Version Hierarchy ,AR-1151,117827,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,14/Dec/15 6:05 PM,04/Jan/16 2:06 PM,03/May/19 9:53 AM,04/Jan/16 2:06 PM,,,,,,,,,0,,"Amp requires that ""Country"" be the primary value in the feature manager hierarch followed by client & version.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Country is first filter in feature manager UI
Client should version variable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzakin:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
